osm_id,status,place_id,resolved_name,resolved_lat,resolved_lng,reason
3588823375,low_confidence,ChIJ9WuwOH7JlzMR_eYk8C5PUJk,APOLLO World Class Male Entertainment & KTV Bar,14.5289382,120.99387,name_similarity=33
3588826379,low_confidence,ChIJtxcbyr-3lzMRmakLxRiY0_k,Chopstick House,14.6225325,121.0531893,distance=12.3km>5.0km
3588835316,resolved,ChIJVQPFalPJlzMRaIiED8Kld9Y,Bread World,14.527287,120.994747,
3588835317,resolved,ChIJ07Gt4DTJlzMRRce7oKx19QE,BALAY SALON AND SPA,14.524372,121.0136228,
3588842166,resolved,ChIJ7ZyI85CYqTMRHjKbWnjNDR4,Celso's Crib Cafe,10.3704408,123.9251408,
3588842167,resolved,ChIJz1q0xeiYqTMRiJRiVsFCCmA,Aicila Suites,10.345272,123.9128094,
3588842168,low_confidence,ChIJXVRQNAEDYzkRetSOOZkVs_w,Premium Park Colony,22.7989017,75.857348,distance=5280.0km>5.0km
3588851867,low_confidence,ChIJE-xqCAWZqTMRcQKFqagS5uk,Car Buddies Car Rental,10.3058257,123.9435126,distance=6.8km>5.0km
3588851872,resolved,ChIJmyue8ZCYqTMRUIXHGpCZgQM,Euro Hub Cafe & Bar,10.3612516,123.9158745,
3588884657,resolved,ChIJ3b61ciKZqTMRuZ3d_GOHxn0,Krispy Kreme Doughnuts,10.3283976,123.9071297,
3588885588,resolved,ChIJu0hDTj6ZqTMRPmcPjvxY5gs,Hukad,10.3181437,123.9059738,
3588888858,resolved,ChIJJ2um4j6ZqTMRJl-09qGnOfk,Seafood Island Crab House & seafood grill,10.3175994,123.9062159,
3590396158,low_confidence,ChIJx6_4yT_IlzMRzQCwGj01Rso,Sumo Sam,14.5813118,121.0548134,distance=54.8km>5.0km
3590396701,low_confidence,ChIJhbO59hrExokRnzCGYcmqgvk,Weber's Deli,39.9197052,-75.2336529,distance=13779.4km>5.0km
3590579251,low_confidence,ChIJA0lY3mS2lzMRfwlR2DIf7Zs,Ersao Taiwanese Restaurant (Main),14.64116,121.000437,distance=60.6km>5.0km
3591116691,resolved,ChIJb9ekxFLJlzMRPIbaFMoH6GA,Quo And Z Restobar,14.5264504,120.9975389,
3591116927,resolved,ChIJLxjbBQDJlzMR3ValQ2e_YVI,Quirino Bakery,14.5263937,120.997136,
