osm_id,name,fclass,finalCategory,latitude,longitude
4342936349,RX drugstore,pharmacy,Health,14.4421687,120.9714247
4343800703,SM Savemore,supermarket,Retail,17.6143742,121.7280942
4343800811,Puregold,supermarket,Retail,14.6571849,121.005686
4344434127,Mary Montessori School,school,Public Service,14.4375758,120.8892904
4344434814,Teotimo Encarnacion Memorial Basketball Court,community_centre,Other,14.4431203,120.8903759
4344444591,BPI,bank,Public Service,14.6009264,120.9913931
4345139390,Holy Family Academy,school,Public Service,13.0199488,123.7142274
4345387587,Ibabao Bana Barangay Hall,town_hall,Public Service,15.4799342,120.9222392
4345604885,Freeman's Barber Shop,hairdresser,Other,9.787157,125.4924058
4345606189,EastWest Bank,bank,Public Service,9.7875742,125.4923073
4345706829,Campo Tinio Barangay Hall,town_hall,Public Service,15.4885897,121.0354291
4345786800,Patalac Brgy Hall,town_hall,Public Service,15.4686103,121.0791159
4345909212,Kalkid Norte Barangay Hall,town_hall,Public Service,15.4868125,121.0542368
4345978590,Core Potentials,school,Public Service,14.7400845,120.9671919
4346015254,Valle Cruz Barangay Hall,town_hall,Public Service,15.4799314,120.9918531
4346138092,Lourdes Barangay Hall,town_hall,Public Service,15.5000209,121.0081258
4346322092,Robinsons Supermarket,supermarket,Retail,14.684985,121.0778383
4346701992,East West Bank,bank,Public Service,11.0050723,124.6078139
4346705990,Park Police,police,Public Service,11.0044299,124.6085634
4346719089,St. Patrick Polyclinic,clinic,Health,11.0052593,124.6082741
4346719189,Ormoc Plants and Flowers Multi-purpose Coop,florist,Retail,11.0051827,124.6085049
4346728301,San Pedro Barangay Hall,town_hall,Public Service,15.354543,121.0471773
4346733939,Mary Joy Pharmacy,pharmacy,Health,14.0727273,121.3243928
4346740457,Gen Tinio Town Hall,town_hall,Public Service,15.3500837,121.0458658
4347773292,Gaisano Capital Casuntingan,supermarket,Retail,10.3454018,123.9309033
4348098239,Cabu Brngy Hall,town_hall,Public Service,15.5184457,121.053198
4348098240,Cabu Daycare Center,kindergarten,Public Service,15.5184849,121.0530405
4348120093,San Antonio South Barangay Hall,town_hall,Public Service,16.3490608,121.1079113
4348174905,San Juan ACCFA Day Care Center,kindergarten,Public Service,15.4721792,120.9574029
4348191132,San Roque Sur Day Care Center,kindergarten,Public Service,15.4715875,120.9589493
4348201604,Hermogenes C. Concepcion Barangay Hall,town_hall,Public Service,15.4660346,120.9507077
4348228289,Leyte Colleges,college,Public Service,11.2159375,125.0240422
4348245726,Sumacab Este Barangay Hall,town_hall,Public Service,15.4442936,120.944446
4348297677,Caalibangbangan Barangay Hall,town_hall,Public Service,15.517119,120.9403942
4348319469,Samon Barangay Hall,town_hall,Public Service,15.4974957,120.9397664
4348346031,Caudillo Barangay Hall,town_hall,Public Service,15.4852045,120.9388317
4348346985,O's Zone,shoe_shop,Retail,9.5724735,125.7328553
4348355579,Pamaldan Barangay Hall,town_hall,Public Service,15.4921566,120.93259
4348629830,Macatbong Barangay Hall,town_hall,Public Service,15.5021445,121.0789873
4348849591,Elorde NAIA Boxing Gym,fitness_centre,Other,14.5170629,120.9942766
4348874596,Manila Target Shooting Range Inc.,pitch,Other,14.5466778,120.9888007
4348874597,Market! Market!,department_store,Retail,14.5495032,121.0560415
4349053290,Burauen District Hospital,hospital,Health,10.9793423,124.8889983
4349058899,TGP,pharmacy,Health,10.6703534,122.9717095
4349265389,Mercury Drug,pharmacy,Health,8.5026536,124.6424871
4349266208,Rose Pharmacy,pharmacy,Health,8.5023862,124.6426865
4349267704,Rika Drugstore,pharmacy,Health,8.5024708,124.6427059
4349308589,Savemore Market,supermarket,Retail,16.3883381,121.1073446
4349308689,Camella Montessori SNV School,school,Public Service,16.3706063,121.1022315
4349454693,TGP,pharmacy,Health,14.5667205,121.0343355
4349705589,GPMF Drug Store,pharmacy,Health,14.072652,121.3243328
4349761837,Santo Niño Day Care,kindergarten,Public Service,15.4465175,120.9221416
4350482107,PNB,bank,Public Service,15.5051883,120.9740113
4351002301,nesanrish commercial,clothes,Retail,8.8861039,126.309392
4351204242,JAV Barber Shop and Salon,hairdresser,Other,9.5753991,125.73185
4351204243,Nicolies Shoes,shoe_shop,Retail,9.575366,125.7318483
4351208389,BPI,bank,Public Service,14.7559399,121.0417234
4351215691,BDO,bank,Public Service,14.5926219,121.0577868
4351373647,San Josef Barangay Health Center,clinic,Health,15.4818701,120.9500706
4351593528,HQ,clinic,Health,14.6266283,121.0045707
4351604803,Pasig Base,clinic,Health,14.562044,121.0711391
4352137292,BDO,bank,Public Service,14.6237264,121.1020674
4352138107,Majo Beauty Salon,hairdresser,Other,14.5913674,121.0864494
4352138108,Natasha,clothes,Retail,14.591388,121.0864571
4352141889,Security Bank,bank,Public Service,14.6249768,121.1021718
4352142089,Sky High Fitness Center,fitness_centre,Other,14.6250263,121.1020523
4352826890,City Savings Bank,bank,Public Service,14.6215913,121.1017985
4352826992,Philippine Business Bank,bank,Public Service,14.6166793,121.1015741
4352858589,Life Savings Bank,bank,Public Service,14.6209309,121.1016032
4352858590,China Bank Savings,bank,Public Service,14.6216827,121.1017993
4352858790,Sterling Bank of Asia,bank,Public Service,14.6230948,121.1019807
4352859189,PSBank,bank,Public Service,14.6210443,121.1020918
4352859190,PNB,bank,Public Service,14.5955025,121.1107759
4353276126,Postbank,bank,Public Service,16.0439328,120.3345036
4353276136,Footstep,shoe_shop,Retail,16.0443108,120.3386337
4353276140,Fabrigar Merchandising,department_store,Retail,16.0441089,120.3388392
4353276143,City Central,department_store,Retail,16.0442228,120.3392709
4353637888,Wellness Center,community_centre,Other,13.0606795,120.7683883
4354960294,A. Baluyut-Lim Dental Clinic,dentist,Health,9.7353295,118.7476842
